case_id,old_interesting,new_interesting,old_and_new,compiler_old,compiler_new
0,False,False,False,True,True
1,False,False,False,True,True
2,False,False,False,True,True
3,False,False,False,True,True
4,False,False,False,True,True
5,False,False,False,True,True
6,False,False,False,True,True
7,False,False,False,True,True
8,False,False,False,True,True
9,False,False,False,True,True
10,False,False,False,True,True
11,False,False,False,True,True
12,False,False,False,True,True
13,False,False,False,True,True
14,False,False,False,True,True
15,False,False,False,True,True
16,False,False,False,True,True
17,False,False,False,True,True
18,False,False,False,True,True
19,False,True,False,True,True
20,False,False,False,True,True
21,False,False,False,True,True
22,False,True,False,True,True
23,False,False,False,True,True
24,False,False,False,True,True
25,False,False,False,True,True
26,False,False,False,True,True
27,False,False,False,True,True
28,False,False,False,True,True
29,False,False,False,True,True
30,False,False,False,True,True
31,False,False,False,True,True
32,False,False,False,True,True
33,False,False,False,True,True
34,False,False,False,True,True
35,False,False,False,True,True
36,False,False,False,True,True
37,False,False,False,True,True
38,False,False,False,True,True
39,False,False,False,True,True
40,False,False,False,True,True
41,False,False,False,True,True
42,False,False,False,True,True
43,False,False,False,True,True
44,False,False,False,True,True
45,False,False,False,True,True
46,False,False,False,True,True
47,False,False,False,True,True
48,False,False,False,True,True
49,False,False,False,True,True
50,False,False,False,True,True
51,False,False,False,True,True
52,True,True,True,True,True
53,False,False,False,True,True
54,False,False,False,True,True
55,False,False,False,True,True
56,False,False,False,True,True
57,False,False,False,True,True
58,False,False,False,True,True
59,False,False,False,True,True
60,False,False,False,True,True
61,False,False,False,True,True
62,False,False,False,True,True
63,False,False,False,True,True
64,False,False,False,True,True
65,False,False,False,True,True
66,False,False,False,True,True
67,False,False,False,True,True
68,False,False,False,True,True
69,False,False,False,True,True
70,False,False,False,True,True
71,False,False,False,True,True
72,False,False,False,True,True
73,False,False,False,True,True
74,False,False,False,True,True
75,False,False,False,True,True
76,False,False,False,True,True
77,False,False,False,True,True
78,False,False,False,True,True
79,False,False,False,True,True
80,False,False,False,True,True
81,False,False,False,True,True
82,False,False,False,True,True
83,False,False,False,True,True
84,False,False,False,True,True
85,False,False,False,True,True
86,False,False,False,True,True
87,False,False,False,True,True
88,False,False,False,True,True
89,False,False,False,True,True
90,False,False,False,True,True
91,False,False,False,True,True
92,False,False,False,True,True
93,False,False,False,True,True
94,False,False,False,True,True
95,False,False,False,True,True
96,False,False,False,True,True
97,False,False,False,True,True
98,False,False,False,True,True
99,False,False,False,True,True
100,False,False,False,True,True
101,False,False,False,True,True
102,False,False,False,True,True
103,False,False,False,True,True
104,False,False,False,True,True
105,False,False,False,True,True
106,False,False,False,True,True
107,False,False,False,True,True
108,False,False,False,True,True
109,False,False,False,True,True
110,False,False,False,True,True
111,False,False,False,True,True
112,False,False,False,True,True
113,False,False,False,True,True
114,False,False,False,True,True
115,False,False,False,True,True
116,False,False,False,True,True
117,False,False,False,True,True
118,False,False,False,True,True
119,False,False,False,True,True
120,False,False,False,True,True
121,False,False,False,True,True
122,False,False,False,True,True
123,False,False,False,True,True
124,False,False,False,True,True
125,False,False,False,True,True
126,False,False,False,True,True
127,False,False,False,True,True
128,False,False,False,True,True
129,False,False,False,True,True
130,False,False,False,True,True
131,False,False,False,True,True
132,False,False,False,True,True
133,False,False,False,True,True
134,False,False,False,True,True
135,False,False,False,True,True
136,False,False,False,True,True
137,False,False,False,True,True
138,True,False,False,True,True
139,False,False,False,True,True
140,False,False,False,True,True
141,False,True,False,True,True
142,False,False,False,True,True
143,False,False,False,True,True
144,False,False,False,True,True
145,False,False,False,True,True
146,False,False,False,True,True
147,False,False,False,True,True
148,False,False,False,True,True
149,False,False,False,True,True
150,False,False,False,True,True
151,False,False,False,True,True
152,False,False,False,True,True
153,False,False,False,True,True
154,False,False,False,True,True
155,False,False,False,True,True
156,False,False,False,True,True
157,False,False,False,True,True
158,False,False,False,True,True
159,False,False,False,True,True
160,False,False,False,True,True
161,False,False,False,True,True
162,False,False,False,True,True
163,False,False,False,True,True
164,False,False,False,True,True
165,False,False,False,True,True
166,False,False,False,True,True
167,False,False,False,True,True
168,False,False,False,True,True
169,False,False,False,True,True
170,False,False,False,True,True
171,False,False,False,True,True
172,False,False,False,True,True
173,False,False,False,True,True
174,False,False,False,True,True
175,False,False,False,True,True
176,False,False,False,True,True
177,False,False,False,True,True
178,False,False,False,True,True
179,False,False,False,True,True
180,False,False,False,True,True
181,False,False,False,True,True
182,False,False,False,True,True
183,False,False,False,True,True
184,False,False,False,True,True
185,False,False,False,True,True
186,False,False,False,True,True
187,False,False,False,True,True
188,False,False,False,True,True
189,False,False,False,True,True
190,False,False,False,True,True
191,False,False,False,True,True
192,False,False,False,True,True
193,False,False,False,True,True
194,False,False,False,True,True
195,False,False,False,True,True
196,False,False,False,True,True
197,False,False,False,True,True
198,False,False,False,True,True
199,False,False,False,True,True
200,False,False,False,True,True
201,False,False,False,True,True
202,False,False,False,True,True
203,False,False,False,True,True
204,False,False,False,True,True
205,False,False,False,True,True
206,False,False,False,True,True
207,False,False,False,True,True
208,False,False,False,True,True
209,False,False,False,True,True
210,False,False,False,True,True
211,False,False,False,True,True
212,False,False,False,True,True
213,False,False,False,True,True
214,False,False,False,True,True
215,False,False,False,True,True
216,False,False,False,True,True
217,False,False,False,True,True
218,False,False,False,True,True
219,False,False,False,True,True
220,False,False,False,True,True
221,False,False,False,True,True
222,False,False,False,True,True
223,False,False,False,True,True
224,False,False,False,True,True
225,False,False,False,True,True
226,False,False,False,True,True
227,False,False,False,True,True
228,False,False,False,True,True
229,False,False,False,True,True
230,False,False,False,True,True
231,False,False,False,True,True
232,False,False,False,True,True
233,False,False,False,True,True
234,False,False,False,True,True
235,False,False,False,True,True
236,False,False,False,True,True
237,False,False,False,True,True
238,False,False,False,True,True
239,False,False,False,True,True
240,False,False,False,True,True
241,False,False,False,True,True
242,False,False,False,True,True
243,False,False,False,True,True
244,False,False,False,True,True
245,False,False,False,True,True
246,False,False,False,True,True
247,False,False,False,True,True
248,False,False,False,True,True
249,False,False,False,True,True
250,False,False,False,True,True
251,False,False,False,True,True
252,False,False,False,True,True
253,True,False,False,True,True
254,False,False,False,True,True
255,False,False,False,True,True
256,False,False,False,True,True
257,False,False,False,True,True
258,False,False,False,True,True
259,False,False,False,True,True
260,False,False,False,True,True
261,False,False,False,True,True
262,False,False,False,True,True
263,False,False,False,True,True
264,False,False,False,True,True
265,False,False,False,True,True
266,False,False,False,True,True
267,False,False,False,True,True
268,False,False,False,True,True
269,False,False,False,True,True
270,False,False,False,True,True
271,False,False,False,True,True
272,False,False,False,True,True
273,False,False,False,True,True
274,False,False,False,True,True
275,False,False,False,True,True
276,False,False,False,True,True
277,False,False,False,True,True
278,False,False,False,True,True
279,False,False,False,True,True
280,False,False,False,True,True
281,False,False,False,True,True
282,False,False,False,True,True
283,False,False,False,True,True
284,False,False,False,True,True
285,False,False,False,True,True
286,False,False,False,True,True
287,False,False,False,True,True
288,False,False,False,True,True
289,False,False,False,True,True
290,False,False,False,True,True
291,False,False,False,True,True
292,False,False,False,True,True
293,False,False,False,True,True
294,False,False,False,True,True
295,False,False,False,True,True
296,False,False,False,True,True
297,False,False,False,True,True
298,False,False,False,True,True
299,False,False,False,True,True
300,False,False,False,True,True
301,False,False,False,True,True
302,False,False,False,True,True
303,False,False,False,True,True
304,False,False,False,True,True
305,False,False,False,True,True
306,False,False,False,True,True
307,True,True,True,True,True
308,False,False,False,True,True
309,False,False,False,True,True
310,False,False,False,True,True
311,False,False,False,True,True
312,False,False,False,True,True
313,False,False,False,True,True
314,False,False,False,True,True
315,False,False,False,True,True
316,False,False,False,True,True
317,False,False,False,True,True
318,False,False,False,True,True
319,False,False,False,True,True
320,False,False,False,True,True
321,False,False,False,True,True
322,False,False,False,True,True
323,False,False,False,True,True
324,False,False,False,True,True
325,False,False,False,True,True
326,False,False,False,True,True
327,False,False,False,True,True
328,False,False,False,True,True
329,False,False,False,True,True
330,False,False,False,True,True
331,False,False,False,True,True
332,False,False,False,True,True
333,False,False,False,True,True
334,False,False,False,True,True
335,False,False,False,True,True
336,False,False,False,True,True
337,False,False,False,True,True
338,False,False,False,True,True
339,False,False,False,True,True
340,False,False,False,True,True
341,False,False,False,True,True
342,False,False,False,True,True
343,False,False,False,True,True
344,False,False,False,True,True
345,False,False,False,True,True
346,False,False,False,True,True
347,False,False,False,True,True
348,False,False,False,True,True
349,False,False,False,True,True
350,False,False,False,True,True
351,False,False,False,True,True
352,False,False,False,True,True
353,False,False,False,True,True
354,False,False,False,True,True
355,False,False,False,True,True
356,False,False,False,True,True
357,True,False,False,True,True
358,False,False,False,True,True
359,False,False,False,True,True
360,False,False,False,True,True
361,False,False,False,True,True
362,False,False,False,True,True
363,False,False,False,True,True
364,False,False,False,True,True
365,False,False,False,True,True
366,False,False,False,True,True
367,False,False,False,True,True
368,False,False,False,True,True
369,False,False,False,True,True
370,False,False,False,True,True
371,False,False,False,True,True
372,False,False,False,True,True
373,False,False,False,True,True
374,False,False,False,True,True
375,False,False,False,True,True
376,False,False,False,True,True
377,False,False,False,True,True
378,False,False,False,True,True
379,False,False,False,True,True
380,False,False,False,True,True
381,False,False,False,True,True
382,False,False,False,True,True
383,False,False,False,True,True
384,False,False,False,True,True
385,False,False,False,True,True
386,False,False,False,True,True
387,False,False,False,True,True
388,False,False,False,True,True
389,False,False,False,True,True
390,False,False,False,True,True
391,False,False,False,True,True
392,False,False,False,True,True
393,False,False,False,True,True
394,False,False,False,True,True
395,False,False,False,True,True
396,False,False,False,True,True
397,False,False,False,True,True
398,False,False,False,True,True
399,False,False,False,True,True
400,False,False,False,True,True
401,False,False,False,True,True
402,False,False,False,True,True
403,False,False,False,True,True
404,False,False,False,True,True
405,False,False,False,True,True
406,False,False,False,True,True
407,False,False,False,True,True
408,False,False,False,True,True
409,False,False,False,True,True
410,False,False,False,True,True
411,False,False,False,True,True
412,False,False,False,True,True
413,False,False,False,True,True
414,False,False,False,True,True
415,False,False,False,True,True
416,False,False,False,True,True
417,False,False,False,True,True
418,False,False,False,True,True
419,False,False,False,True,True
420,False,False,False,True,True
421,False,False,False,True,True
422,False,False,False,True,True
423,False,False,False,True,True
424,False,False,False,True,True
425,False,False,False,True,True
426,False,False,False,True,True
427,False,False,False,True,True
428,False,False,False,True,True
429,False,False,False,True,True
430,False,False,False,True,True
431,False,False,False,True,True
432,False,False,False,True,True
433,False,False,False,True,True
434,False,False,False,True,True
435,False,False,False,True,True
436,False,False,False,True,True
